,1,2,3,4,5,6,7
0,Razer Blade 14 - Full HD 144Hz - GeForce RTX 3060 - Noir,AMD Ryzen™ 9 6900HX,Windows 11 Home,"14"" 144Hz Full HD",GeForce RTX 3060,"16 Go 4800MHz RAM, 1 To SSD","2 499,99 €"
1,Razer Blade 14 - QHD 165Hz - GeForce RTX 3070 Ti - Noir,AMD Ryzen™ 9 6900HX,Windows 11 Home,"14"" 165Hz QHD",GeForce RTX 3070 Ti,"16 Go 4800MHz RAM, 1 To SSD","3 199,99 €"
2,Razer Blade 14 - QHD 165Hz - GeForce RTX 3080 Ti - Noir,AMD Ryzen™ 9 6900HX,Windows 11 Home,"14"" 165Hz QHD",GeForce RTX 3080 Ti,"16 Go 4800MHz RAM, 1 To SSD","4 199,99 €"
3,Razer Blade 15 - QHD 240Hz - GeForce RTX 3060 - Noir,Intel Core i7-12800H,Windows 11 Home,"15,6 po 240Hz QHD",GeForce RTX 3060,"16Go 4800MHz RAM, 1To SSD","3 099,99 €"
4,Razer Blade 15 - QHD 240Hz - GeForce RTX 3070 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"15,6 po 240Hz QHD",GeForce RTX 3070 Ti,"16Go 4800MHz RAM, 1To SSD","3 599,99 €"
5,Razer Blade 15 - QHD 240Hz - GeForce RTX 3080 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"15,6 po 240Hz QHD",GeForce RTX 3080 Ti,"32Go 4800MHz RAM, 1To SSD","4 499,99 €"
6,Razer Blade 15 - Full HD 360Hz - GeForce RTX 3080 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"15,6 po 360Hz Full HD",GeForce RTX 3080 Ti,"32Go 4800MHz RAM, 1To SSD","4 499,99 €"
7,Razer Blade 15 - UHD 144Hz - GeForce RTX 3080 Ti - Noir,Intel Core i9-12900H,Windows 11 Home,"15,6 po 144Hz UHD",GeForce RTX 3080 Ti,"32Go 4800MHz RAM, 1To SSD","4 799,99 €"
8,Razer Blade 17 - QHD 165Hz - GeForce RTX 3060 - Noir,Intel Core i7-12800H,Windows 11 Home,"17,3 po 165Hz QHD",GeForce RTX 3060,"16Go 4800MHz RAM, 1To SSD","2 999,99 €"
9,Razer Blade 17 - QHD 240Hz - GeForce RTX 3070 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"17,3 po 240Hz QHD",GeForce RTX 3070 Ti,"16Go 4800MHz RAM, 1To SSD","3 799,99 €"
10,Razer Blade 17 - Full HD 360Hz - GeForce RTX 3070 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"17,3 po 360Hz Full HD",GeForce RTX 3070 Ti,"16Go 4800MHz RAM, 1To SSD","3 799,99 €"
11,Razer Blade 17 - QHD 240Hz - GeForce RTX 3080 Ti - Noir,Intel Core i7-12800H,Windows 11 Home,"17,3 po 240Hz QHD",GeForce RTX 3080 Ti,"32Go 4800MHz RAM, 1To SSD","4 699,99 €"
12,Razer Blade 17 - 4K 144Hz - GeForce RTX 3080 Ti - Noir,Intel Core i9-12900H,Windows 11 Home,"17,3 po 144Hz UHD",GeForce RTX 3080 Ti,"32Go 4800MHz RAM, 1To SSD","4 999,99 €"
13,Razer Blade 15 Modèle avancé - QHD 240Hz - GeForce RTX 3080 - Noir,Intel Core i7-11800H,Windows 11 Home,"15,6 po 240Hz QHD",GeForce RTX 3080,"32 Go 3200MHz RAM, 1 To SSD","3 699,99 €"
14,Razer Book - Full HD 60Hz - Intel® Iris® Xe Graphics - Mercury,Intel Core i5-1135G7,Windows 11 Home,"13,4 po 60Hz Full HD",Intel® Iris® Xe Graphics,"8 Go 4267MHz RAM, 256 Go SSD","1 199,99 €"
15,Razer Book - Écran tactile Full HD 60Hz - Intel® Iris® Xe Graphics - Mercury,Intel Core i7-1165G7,Windows 11 Home,"13,4 po Écran tactile Full HD 60Hz",Intel® Iris® Xe Graphics,"16 Go 4267MHz RAM, 256 Go SSD","1 799,99 €"
16,Razer Book - Écran tactile UHD 60Hz - Intel® Iris® Xe Graphics - Mercury,Intel Core i7-1165G7,Windows 11 Home,"13,4 po Écran tactile UHD 60Hz",Intel® Iris® Xe Graphics,"16 Go 4267MHz RAM, 1 To SSD","2 099,99 €"
17,Razer Blade 15 Modèle avancé - QHD 165Hz - GeForce RTX 3070 - Noir,Intel Core i7-11800H,Windows 10 Home,"15,6 po 165Hz QHD",GeForce RTX 3070,"16 Go 3200MHz RAM, 1 To SSD","3 099,99 €"
18,Razer Blade 15 Modèle de base - Full HD 144Hz - GeForce RTX 3070 - Noir,Intel Core i7-11800H,Windows 10 Home,"15.6"" 144Hz Full HD",GeForce RTX 3070,"16 Go 3200MHz RAM, 512 Go SSD","2 399,99 €"
19,Razer Blade 15 Modèle de base - QHD 165Hz - GeForce RTX 3070 - Noir,Intel Core i7-11800H,Windows 10 Home,"15.6"" 165Hz QHD",GeForce RTX 3070,"16 Go 3200MHz RAM, 512 Go SSD","2 599,99 €"
20,Razer Blade 17 - QHD 165Hz - GeForce RTX 3070 - Noir,Intel Core i7-11800H,Windows 10 Home,"17,3 po 165Hz QHD",GeForce RTX 3070,"16 Go 3200MHz RAM, 1 To SSD","3 099,99 €"
21,Razer Blade 17 - QHD 165Hz - GeForce RTX 3060 - Noir,Intel Core i7-11800H,Windows 10 Home,"17,3 po 165Hz QHD",GeForce RTX 3060,"16 Go 3200MHz RAM, 1 To SSD","2 699,99 €"
22,Razer Blade 17 - Full HD 360Hz - GeForce RTX 3070 - Noir,Intel Core i7-11800H,Windows 10 Home,"17,3 po 360Hz Full HD",GeForce RTX 3070,"16 Go 3200MHz RAM, 1 To SSD","3 199,99 €"
23,Razer Blade 17 - Full HD 360Hz - GeForce RTX 3080 - Noir,Intel Core i7-11800H,Windows 10 Home,"17,3 po 360Hz Full HD",GeForce RTX 3080,"32 Go 3200MHz RAM, 1 To SSD","3 699,99 €"
24,Razer Blade 17 - Full HD 360Hz - GeForce RTX 3060 - Noir,Intel Core i7-11800H,Windows 10 Home,"17,3 po 360Hz Full HD",GeForce RTX 3060,"16 Go 3200MHz RAM, 1 To SSD","2 799,99 €"
25,Razer Blade 15 Modèle avancé - QHD 240Hz - GeForce RTX 3060 - Noir,Intel Core i7-11800H,Windows 10 Home,"15,6 po 240Hz QHD",GeForce RTX 3060,"16 Go 3200MHz RAM, 1 To SSD","2 699,99 €"
26,Razer Blade 15 Modèle avancé - Full HD 360Hz - GeForce RTX 3070 - Noir,Intel Core i7-10875H,Windows 10 Home,"15.6"" 360Hz Full HD",GeForce RTX 3070,"16 Go RAM, 1 To SSD","2 999,99 €"
27,Razer Blade Pro 17 - Full HD 300Hz - GeForce RTX 2080 Super Max-Q - Noir,Intel Core i7-10875H,Windows 10 Home,"17,3 po 300Hz Full HD",GeForce RTX 2080 Super,"16 Go RAM, 512 Go SSD","3 499,99 €
3 899,99 € (10% de remise)"
